Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link
HP ENVY x360 14,Intel Core 7 150U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",4000GB SSD,116900,https://laptopmedia.com/laptop-specs/hp-envy-x360-14-397/,https://www.amazon.com/exec/obidos/ASIN/B0FP1N5Y3Z?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,29499,https://laptopmedia.com/laptop-specs/hp-14-10407/,https://www.amazon.com/exec/obidos/ASIN/B0FMRSPCJ3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,29999,https://laptopmedia.com/laptop-specs/hp-14-10400/,https://www.amazon.com/exec/obidos/ASIN/B0FMRW56XS?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP OmniBook X Flip,Intel Core Ultra 7 256V,16GB RAM,Intel Arc Graphics 140V,"16.0”, WUXGA (1920 x 1200), IPS",512GB SSD,89999,https://laptopmedia.com/laptop-specs/hp-omnibook-x-flip-243/,https://www.amazon.com/exec/obidos/ASIN/B0FLPR9VN5?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i7-1255U,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), TN",2000GB SSD,85259,https://laptopmedia.com/laptop-specs/hp-15-24415/,https://www.amazon.com/exec/obidos/ASIN/B0FQ6X45SM?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Celeron N4120,16GB RAM,Intel UHD Graphics 600,"15.6”, HD (1366 x 768), TN",512GB SSD,36999,https://laptopmedia.com/laptop-specs/hp-15-24326/,https://www.amazon.com/exec/obidos/ASIN/B0FNSS6L9D?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,40900,https://laptopmedia.com/laptop-specs/hp-14-10258/,https://www.amazon.com/exec/obidos/ASIN/B0FLDK51D9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 3 3250U,8GB RAM,AMD Radeon RX Vega 3,"15.6”, Full HD (1920 x 1080), TN",256GB SSD,42900,https://laptopmedia.com/laptop-specs/hp-15-23962/,https://www.amazon.com/exec/obidos/ASIN/B0DJZZMSS2?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,Intel Core i5-13420H,16GB RAM,"NVIDIA GeForce RTX 4050 (Laptop, 75W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,94900,https://laptopmedia.com/laptop-specs/hp-victus-15-1747/,https://www.amazon.com/exec/obidos/ASIN/B0F8Q42LBV?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 3 5300U,16GB RAM,"AMD Radeon RX Vega 6 (R4000/5000, 15W)","15.6”, HD (1366 x 768), TN",512GB SSD,44900,https://laptopmedia.com/laptop-specs/hp-15-21782/,https://www.amazon.com/exec/obidos/ASIN/B0FDVM64HH?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Pavilion 16,Intel Core Ultra 7 155U,16GB RAM,Intel Graphics (4-Cores),"16.0”, WUXGA (1920 x 1200), IPS",512GB SSD,87900,https://laptopmedia.com/laptop-specs/hp-pavilion-16-229/,https://www.amazon.com/exec/obidos/ASIN/B0DSBVNPFC?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-N305,8GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, Full HD (1920 x 1080), IPS",640GB SSD,79900,https://laptopmedia.com/laptop-specs/hp-17-6681/,https://www.amazon.com/exec/obidos/ASIN/B0DP5FRHGN?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ProBook 450 G10,Intel Core i5-1335U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,100699,https://laptopmedia.com/laptop-specs/hp-probook-450-g10-294/,https://www.amazon.com/exec/obidos/ASIN/B0D57LM5FX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 7 5825U,32GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,89900,https://laptopmedia.com/laptop-specs/hp-15-24974/,https://www.amazon.com/exec/obidos/ASIN/B0FX9DXLT4?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Core i7-1355U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",2000GB SSD,111900,https://laptopmedia.com/laptop-specs/hp-14-10607/,https://www.amazon.com/exec/obidos/ASIN/B0F8VLTW9T?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, HD+ (1600 x 900), TN",1000GB SSD,67900,https://laptopmedia.com/laptop-specs/hp-17-21820/,https://www.amazon.com/exec/obidos/ASIN/B0FTKGYDG3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-N305,32GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, Full HD (1920 x 1080), TN",2000GB SSD,62999,https://laptopmedia.com/laptop-specs/hp-15-24649/,https://www.amazon.com/exec/obidos/ASIN/B0FPXSQSM7?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-N305,32GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, HD+ (1600 x 900), TN",2000GB SSD,69999,https://laptopmedia.com/laptop-specs/hp-17-21776/,https://www.amazon.com/exec/obidos/ASIN/B0FS7P87PG?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, HD+ (1600 x 900), TN",512GB SSD,55555,https://laptopmedia.com/laptop-specs/hp-17-21775/,https://www.amazon.com/exec/obidos/ASIN/B0FS7LY622?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i7-1355U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), TN",512GB SSD,89999,https://laptopmedia.com/laptop-specs/hp-15-24444/,https://www.amazon.com/exec/obidos/ASIN/B0FFBGT6CJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,4GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,24999,https://laptopmedia.com/laptop-specs/hp-14-10292/,https://www.amazon.com/exec/obidos/ASIN/B0FMXZHX7V?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i7-1355U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,79999,https://laptopmedia.com/laptop-specs/hp-15-24315/,https://www.amazon.com/exec/obidos/ASIN/B0FMQLY24B?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,AMD Ryzen 5 7535HS,16GB RAM,AMD Radeon RX 6550M,"15.6”, Full HD (1920 x 1080), 144 Hz, IPS",512GB SSD,79900,https://laptopmedia.com/laptop-specs/hp-victus-15-1713/,https://www.amazon.com/exec/obidos/ASIN/B0FJXGWYF3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 3 5300U,16GB RAM,"AMD Radeon RX Vega 6 (R4000/5000, 15W)","15.6”, HD (1366 x 768), TN",256GB SSD,35999,https://laptopmedia.com/laptop-specs/hp-15-22048/,https://www.amazon.com/exec/obidos/ASIN/B0F3BXH1K2?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G8 / 255 G8,AMD Ryzen 5 5500U,16GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), TN",1000GB SSD,54900,https://laptopmedia.com/laptop-specs/hp-250-g8-255-g8-2/,https://www.amazon.com/exec/obidos/ASIN/B0D1ZVD5FQ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 7 5700U,32GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,65300,https://laptopmedia.com/laptop-specs/hp-15-15509/,https://www.amazon.com/exec/obidos/ASIN/B0BRNTXW34?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ZBook Firefly 16 G10,Intel Core i7-1355U,32GB RAM,"NVIDIA RTX A500 (Laptop, 30W)","16.0”, WUXGA (1920 x 1200), IPS",512GB SSD,150999,https://laptopmedia.com/laptop-specs/hp-zbook-firefly-16-g10-128/,https://www.amazon.com/exec/obidos/ASIN/B0CNS8B2FX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Pavilion Plus 14,AMD Ryzen 7 7840U,16GB RAM,AMD Radeon 780M,"14.0″, 2.8K (2880 x 1800), 120 Hz, OLED",1000GB SSD,114900,https://laptopmedia.com/laptop-specs/hp-pavilion-plus-14-131/,https://www.amazon.com/exec/obidos/ASIN/B0D6YZ3DFT?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,Intel Core i5-13500H,16GB RAM,"NVIDIA GeForce RTX 4050 (Laptop, 75W)","15.6”, Full HD (1920 x 1080), IPS",512GB SSD,99999,https://laptopmedia.com/laptop-specs/hp-victus-15-453/,https://www.amazon.com/exec/obidos/ASIN/B0CYQSFYS4?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY 16,Intel Core i7-13700H,16GB RAM,"NVIDIA GeForce RTX 4060 (Laptop, 95W)","16.0"", WQXGA (2560 x 1600), 120 Hz, IPS",2000GB SSD,116900,https://laptopmedia.com/laptop-specs/hp-envy-16-57/,https://www.amazon.com/exec/obidos/ASIN/B0D5CW1GGM?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 7 5700U,16GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, HD (1366 x 768), TN",512GB SSD,50999,https://laptopmedia.com/laptop-specs/hp-15-16004/,https://www.amazon.com/exec/obidos/ASIN/B0CBVQ75F7?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Chromebook 14,Intel Celeron N4120,4GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",64GB SSD,24900,https://laptopmedia.com/laptop-specs/hp-chromebook-14-266/,https://www.amazon.com/exec/obidos/ASIN/B0DTYD42T1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G10 / 255 G10,AMD Ryzen 5 7530U,8GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",256GB SSD,44900,https://laptopmedia.com/laptop-specs/hp-250-g10-255-g10-493/,https://www.amazon.com/exec/obidos/ASIN/B0F12RPYMG?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-N305,8GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, HD (1366 x 768), TN",256GB SSD,46900,https://laptopmedia.com/laptop-specs/hp-15-22774/,https://www.amazon.com/exec/obidos/ASIN/B0DNKJG1HH?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G10 / 255 G10,AMD Ryzen 5 7530U,64GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,98900,https://laptopmedia.com/laptop-specs/hp-250-g10-255-g10-409/,https://www.amazon.com/exec/obidos/ASIN/B0DZX6RLRD?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 5 5500U,8GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",512GB SSD,99999,https://laptopmedia.com/laptop-specs/hp-15-22235/,https://www.amazon.com/exec/obidos/ASIN/B0F486FYDZ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Chromebook 15,Intel Core i3-N300,8GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, HD (1366 x 768), TN",128GB SSD,23999,https://laptopmedia.com/laptop-specs/hp-chromebook-15-76/,https://www.amazon.com/exec/obidos/ASIN/B0DZJSZ38W?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G10 / 255 G10,AMD Ryzen 3 7330U,32GB RAM,"AMD Radeon RX Vega 6 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), TN",1000GB SSD,56999,https://laptopmedia.com/laptop-specs/hp-250-g10-255-g10-140/,https://www.amazon.com/exec/obidos/ASIN/B0DQ1CRFDF?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Processor N200,4GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, HD (1366 x 768), TN",128GB SSD,29800,https://laptopmedia.com/laptop-specs/hp-15-18239/,https://www.amazon.com/exec/obidos/ASIN/B0CPGH6WV6?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Chromebook 14,Intel Celeron N2940,4GB RAM,Intel HD Graphics (Bay Trail),"14.0”, Full HD (1920 x 1080), IPS",16GB SSD,18900,https://laptopmedia.com/laptop-specs/hp-chromebook-14-3/,https://www.amazon.com/exec/obidos/ASIN/B076XY8R46?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Athlon Gold 3150U,4GB RAM,AMD Radeon RX Vega 3,"15.6”, HD (1366 x 768), TN",256GB SSD,28017,https://laptopmedia.com/laptop-specs/hp-15-6179/,https://www.amazon.com/exec/obidos/ASIN/B087CZQSPH?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Pavilion 15,Intel Core i7-1165G7,8GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,114900,https://laptopmedia.com/laptop-specs/hp-pavilion-15-3843/,https://www.amazon.com/exec/obidos/ASIN/B09LWW2HXQ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i5-1155G7,32GB RAM,Intel Iris Xe Graphics G7 (80EU),"17.3”, Full HD (1920 x 1080), IPS",2000GB SSD,42500,https://laptopmedia.com/laptop-specs/hp-17-12781/,https://www.amazon.com/exec/obidos/ASIN/B0B9CFTFZC?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15 (15-ef0021nr),AMD Ryzen 3 3200U,8GB RAM,AMD Radeon RX Vega 3,"15.6”, HD (1366 x 768), TN",256GB SSD,26950,https://laptopmedia.com/laptop-specs/hp-15-15-ef-58/,https://www.amazon.com/exec/obidos/ASIN/B0876K24XJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Chromebook 14 (14a-na0030nr),Intel Celeron N4000,4GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",32GB SSD,23345,https://laptopmedia.com/laptop-specs/hp-chromebook-14-14a-na0030nr/,https://www.amazon.com/exec/obidos/ASIN/B08529LPLZ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Pavilion x360 15 (15-dq1000),Intel Core i5-10210U,32GB RAM,Intel UHD Graphics,"15.6”, HD (1366 x 768), TN",512GB SSD,93900,https://laptopmedia.com/laptop-specs/hp-pavilion-x360-15-353/,https://www.amazon.com/exec/obidos/ASIN/B081VX7FR8?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Stream 11 (11-ak0000),Intel Celeron N4000,4GB RAM,Intel UHD Graphics 600,"11.6”, HD (1366 x 768), TN",64GB SSD,27000,https://laptopmedia.com/laptop-specs/hp-stream-11-11-ak0000-44/,https://www.amazon.com/exec/obidos/ASIN/B08P48ML2W?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,64GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, Full HD (1920 x 1080), TN",2000GB SSD,69999,https://laptopmedia.com/laptop-specs/hp-15-25265/,https://www.amazon.com/exec/obidos/ASIN/B0FXY8XQ8V?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core 5 120U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,63999,https://laptopmedia.com/laptop-specs/hp-15-25118/,https://www.amazon.com/exec/obidos/ASIN/B0FWPV8C8Y?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,50900,https://laptopmedia.com/laptop-specs/hp-15-25102/,https://www.amazon.com/exec/obidos/ASIN/B0FFS9SQ7N?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP OmniBook 5 Flip,Intel Core 7 150U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,72500,https://laptopmedia.com/laptop-specs/hp-omnibook-5-flip-50/,https://www.amazon.com/exec/obidos/ASIN/B0FH4Q9T9X?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,AMD Ryzen 5 7530U,32GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, HD+ (1600 x 900), TN",1000GB SSD,69999,https://laptopmedia.com/laptop-specs/hp-17-22215/,https://www.amazon.com/exec/obidos/ASIN/B0DKZ6RKZ8?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,64GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",2000GB SSD,79900,https://laptopmedia.com/laptop-specs/hp-15-24970/,https://www.amazon.com/exec/obidos/ASIN/B0F8QX1GY4?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,16GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",2000GB SSD,63900,https://laptopmedia.com/laptop-specs/hp-15-24882/,https://www.amazon.com/exec/obidos/ASIN/B0FPCW1HD7?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core Ultra 7 255U,64GB RAM,Intel Graphics (4-Cores),"17.3”, HD+ (1600 x 900), TN",2000GB SSD,114999,https://laptopmedia.com/laptop-specs/hp-17-22110/,https://www.amazon.com/exec/obidos/ASIN/B0FKQM57K4?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i5-1334U,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,117999,https://laptopmedia.com/laptop-specs/hp-15-24800/,https://www.amazon.com/exec/obidos/ASIN/B0DBXFW7WM?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i7-1355U,64GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), TN",2000GB SSD,115999,https://laptopmedia.com/laptop-specs/hp-15-24733/,https://www.amazon.com/exec/obidos/ASIN/B0FFZSWXQ3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY x360 13,Intel Core i5-1135G7,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"13.3”, Full HD (1920 x 1080), IPS",2000GB SSD,95900,https://laptopmedia.com/laptop-specs/hp-envy-x360-13-401/,https://www.amazon.com/exec/obidos/ASIN/B0FQ3XQ84N?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,31349,https://laptopmedia.com/laptop-specs/hp-14-10546/,https://www.amazon.com/exec/obidos/ASIN/B0FM66P1HT?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Celeron N4500,8GB RAM,Intel UHD Graphics (Jasper Lake 16 EU),"14.0”, HD (1366 x 768), TN",512GB SSD,28900,https://laptopmedia.com/laptop-specs/hp-14-10488/,https://www.amazon.com/exec/obidos/ASIN/B0FNMN7QBQ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i7-1255U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), TN",512GB SSD,72519,https://laptopmedia.com/laptop-specs/hp-15-24642/,https://www.amazon.com/exec/obidos/ASIN/B0FJG4TFG4?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-N305,32GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, HD+ (1600 x 900), TN",1000GB SSD,65999,https://laptopmedia.com/laptop-specs/hp-17-21772/,https://www.amazon.com/exec/obidos/ASIN/B0FS7NBBYN?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, HD+ (1600 x 900), TN",1000GB SSD,55900,https://laptopmedia.com/laptop-specs/hp-17-21721/,https://www.amazon.com/exec/obidos/ASIN/B0FPLYNVSV?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Celeron N4120,16GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",64GB SSD,29999,https://laptopmedia.com/laptop-specs/hp-14-10340/,https://www.amazon.com/exec/obidos/ASIN/B0FK26MJ63?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,37900,https://laptopmedia.com/laptop-specs/hp-14-10211/,https://www.amazon.com/exec/obidos/ASIN/B0FLDLYJ63?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-N305,8GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, HD (1366 x 768), TN",256GB SSD,34800,https://laptopmedia.com/laptop-specs/hp-15-24300/,https://www.amazon.com/exec/obidos/ASIN/B0DY2RZ3W2?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i5-1235U,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",256GB SSD,47900,https://laptopmedia.com/laptop-specs/hp-15-23349/,https://www.amazon.com/exec/obidos/ASIN/B0DQ8DFBR3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY x360 14,Intel Core 5 120U,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",4000GB SSD,99900,https://laptopmedia.com/laptop-specs/hp-envy-x360-14-183/,https://www.amazon.com/exec/obidos/ASIN/B0DP9DNC6R?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,35999,https://laptopmedia.com/laptop-specs/hp-14-9761/,https://www.amazon.com/exec/obidos/ASIN/B0FK4SCBLQ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Chromebook 15,Intel Processor N200,8GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, Full HD (1920 x 1080), IPS",64GB SSD,27999,https://laptopmedia.com/laptop-specs/hp-chromebook-15-96/,https://www.amazon.com/exec/obidos/ASIN/B0FK9Y6FNZ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Celeron N4500,16GB RAM,Intel UHD Graphics (Jasper Lake 16 EU),"14.0”, HD (1366 x 768), TN",512GB SSD,33900,https://laptopmedia.com/laptop-specs/hp-14-9113/,https://www.amazon.com/exec/obidos/ASIN/B0F8VMZ73T?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G9 / 255 G9,Intel Celeron N4500,16GB RAM,Intel UHD Graphics (Jasper Lake 16 EU),"15.6”, Full HD (1920 x 1080), TN",512GB SSD,35999,https://laptopmedia.com/laptop-specs/hp-250-g9-255-g9-151/,https://www.amazon.com/exec/obidos/ASIN/B0FFNFTGCX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,Intel Core i5-12450H,16GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 75W, 6GB)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,82900,https://laptopmedia.com/laptop-specs/hp-victus-15-2162/,https://www.amazon.com/exec/obidos/ASIN/B0DG2Z6CFJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Celeron N4120,8GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",64GB SSD,24999,https://laptopmedia.com/laptop-specs/hp-14-7993/,https://www.amazon.com/exec/obidos/ASIN/B0CB1VTQ9L?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,AMD Ryzen 5 7430U,16GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, Full HD (1920 x 1080), IPS",1000GB SSD,69900,https://laptopmedia.com/laptop-specs/hp-17-11339/,https://www.amazon.com/exec/obidos/ASIN/B0DNRF6PYH?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i5-1235U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",512GB SSD,49799,https://laptopmedia.com/laptop-specs/hp-15-19961/,https://www.amazon.com/exec/obidos/ASIN/B0DQFD9LFJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
